schedule_date,schedule_season,home_id,away_id,score_home,home_avg_yards,home_avg_TO,score_away,away_avg_yards,away_avg_TO,total_score,over_under_line,label
12/4/1988,1988,OTI,PIT,34,336.88235294117646,2.3529411764705883,37,313.0,2.411764705882353,71,46.0,over
12/4/1988,1988,KAN,NYJ,38,320.29411764705884,2.0,34,322.4705882352941,1.7647058823529411,72,38.0,over
12/4/1988,1988,RAI,DEN,21,299.5882352941176,2.0588235294117645,20,342.8235294117647,2.117647058823529,41,40.0,over
12/4/1988,1988,MIA,CLT,28,357.11764705882354,2.176470588235294,31,315.70588235294116,1.7647058823529411,59,42.0,over
12/4/1988,1988,MIN,NOR,45,364.4117647058823,1.7647058823529411,3,312.70588235294116,2.176470588235294,48,39.0,over
12/4/1988,1988,NWE,SEA,13,272.3529411764706,2.235294117647059,7,283.29411764705884,2.0,20,37.0,under
12/4/1988,1988,NYG,CRD,44,322.76470588235287,1.7647058823529411,7,366.9411764705882,2.0588235294117645,51,41.0,over
12/4/1988,1988,PHI,WAS,19,343.4117647058824,1.7058823529411764,20,358.1764705882353,2.4705882352941178,39,46.0,under
12/4/1988,1988,TAM,BUF,10,318.9411764705883,3.0588235294117645,5,319.0588235294117,2.4705882352941178,15,38.0,under
12/5/1988,1988,RAM,CHI,23,354.0,2.176470588235294,3,328.5882352941176,2.411764705882353,26,37.0,under
12/10/1988,1988,NYJ,CLT,34,323.8235294117647,1.7647058823529411,16,315.0588235294117,1.9411764705882355,50,42.0,over
12/10/1988,1988,CRD,PHI,17,371.47058823529403,2.235294117647059,23,341.8235294117647,1.7647058823529411,40,48.0,under
12/11/1988,1988,BUF,RAI,37,318.0,2.235294117647059,21,294.76470588235287,2.0,58,34.0,over
12/11/1988,1988,CHI,DET,13,317.5882352941176,2.176470588235294,12,226.0,2.117647058823529,25,33.0,under
12/11/1988,1988,GNB,MIN,18,284.0588235294117,3.0,6,354.8823529411765,1.7647058823529411,24,34.0,under
12/11/1988,1988,OTI,CIN,41,333.0588235294117,2.2941176470588243,6,372.6470588235293,1.9411764705882355,47,51.0,under
12/11/1988,1988,RAM,ATL,22,349.5294117647058,2.2941176470588243,7,286.70588235294116,2.647058823529412,29,39.0,under
12/11/1988,1988,NWE,TAM,10,267.8235294117647,2.3529411764705883,7,318.88235294117646,3.117647058823529,17,35.0,under
12/11/1988,1988,NYG,KAN,28,313.76470588235287,1.7058823529411764,12,319.2352941176472,1.9411764705882355,40,38.0,over
12/11/1988,1988,SDG,PIT,20,265.6470588235294,2.235294117647059,14,315.8235294117647,2.5294117647058822,34,40.0,under
12/11/1988,1988,SFO,NOR,30,374.6470588235293,1.5882352941176472,17,308.64705882352933,2.2941176470588243,47,41.0,over
12/11/1988,1988,SEA,DEN,42,292.11764705882354,2.0,14,347.8823529411765,2.117647058823529,56,44.0,over
12/11/1988,1988,WAS,DAL,17,364.05882352941177,2.647058823529412,24,346.7058823529412,2.176470588235294,41,42.0,under
12/12/1988,1988,MIA,CLE,38,358.3529411764707,2.176470588235294,31,323.0,2.0,69,44.0,over
12/17/1988,1988,CIN,WAS,20,377.4117647058823,1.7058823529411764,17,369.47058823529403,2.764705882352941,37,44.0,under
12/17/1988,1988,DEN,NWE,21,343.11764705882354,2.176470588235294,10,274.6470588235294,2.2941176470588243,31,39.0,under
12/18/1988,1988,CLE,OTI,28,322.0588235294117,2.176470588235294,23,326.0,2.235294117647059,51,45.0,over
12/18/1988,1988,DAL,PHI,7,339.29411764705884,2.3529411764705883,23,339.64705882352933,1.7058823529411764,30,45.0,under
12/18/1988,1988,CLT,BUF,17,305.0,1.8823529411764703,14,323.88235294117646,2.176470588235294,31,39.0,under
12/18/1988,1988,RAI,SEA,37,303.1764705882353,2.0,43,299.5294117647058,2.0588235294117645,80,40.0,over
12/18/1988,1988,NOR,ATL,10,310.5882352941176,2.235294117647059,9,285.88235294117646,2.4705882352941178,19,40.0,under
12/18/1988,1988,NYJ,NYG,27,320.5294117647058,1.5882352941176472,21,316.1764705882353,1.5882352941176472,48,41.0,over
12/18/1988,1988,CRD,GNB,17,366.4117647058823,2.176470588235294,26,293.76470588235287,3.117647058823529,43,43.0,under
12/18/1988,1988,PIT,MIA,40,319.11764705882354,2.411764705882353,24,354.0,2.2941176470588243,64,41.0,over
12/18/1988,1988,SDG,KAN,24,269.41176470588243,2.176470588235294,13,315.0588235294117,2.0,37,39.0,under
12/18/1988,1988,SFO,RAM,16,368.1176470588235,1.6470588235294117,38,350.1764705882353,2.117647058823529,54,40.0,over
12/18/1988,1988,TAM,DET,21,311.35294117647067,3.117647058823529,10,219.29411764705884,2.0588235294117645,31,37.0,under
12/19/1988,1988,MIN,CHI,28,344.3529411764707,1.8235294117647056,27,329.2352941176472,2.176470588235294,55,39.0,over
12/24/1988,1988,CLE,OTI,23,310.0588235294117,2.0588235294117645,24,325.8235294117647,2.235294117647059,47,38.0,over
12/26/1988,1988,MIN,RAM,28,347.3529411764707,1.7647058823529411,17,361.7647058823529,2.176470588235294,45,42.0,over
12/31/1988,1988,CHI,PHI,20,332.8235294117647,2.235294117647059,12,344.7058823529412,1.7058823529411764,32,38.0,under
12/31/1988,1988,CIN,SEA,21,376.5882352941177,1.7058823529411764,13,302.11764705882354,2.176470588235294,34,46.0,under
1/1/1989,1988,BUF,OTI,17,334.5294117647058,2.0,10,326.0588235294117,2.235294117647059,27,37.0,under
1/1/1989,1988,SFO,MIN,34,368.9411764705882,1.6470588235294117,9,345.11764705882354,1.8235294117647056,43,44.0,under
1/8/1989,1988,CHI,SFO,3,323.4117647058824,2.3529411764705883,28,375.8235294117647,1.5882352941176472,31,35.0,under
1/8/1989,1988,CIN,BUF,21,367.5294117647058,1.7647058823529411,10,326.9411764705883,2.117647058823529,31,41.0,under
1/22/1989,1988,SFO,CIN,20,377.1176470588235,1.5882352941176472,16,355.6470588235293,1.6470588235294117,36,48.0,under
9/10/1989,1989,ATL,RAM,21,288.0,2.176470588235294,31,366.05882352941177,2.176470588235294,52,39.0,over
9/10/1989,1989,CHI,CIN,17,325.70588235294116,2.4705882352941178,14,357.05882352941177,1.5882352941176472,31,42.0,under
9/10/1989,1989,DEN,KAN,34,338.5882352941176,2.117647058823529,20,301.8235294117647,2.176470588235294,54,41.0,over
9/10/1989,1989,DET,CRD,13,215.4705882352941,2.0,16,360.9411764705882,2.117647058823529,29,40.0,under
9/10/1989,1989,GNB,TAM,21,293.2352941176472,3.117647058823529,23,318.11764705882354,3.0588235294117645,44,41.0,over
9/10/1989,1989,CLT,SFO,24,306.70588235294116,1.8235294117647056,30,375.8235294117647,1.3529411764705883,54,42.5,over
9/10/1989,1989,RAI,SDG,40,316.4117647058824,2.0,14,278.4705882352941,1.9411764705882355,54,40.0,over
9/10/1989,1989,MIA,BUF,24,355.5294117647058,2.2941176470588243,27,329.76470588235287,2.0,51,39.5,over
9/10/1989,1989,MIN,OTI,38,340.88235294117646,1.7058823529411764,7,308.29411764705884,2.235294117647059,45,45.0,under
9/10/1989,1989,NOR,DAL,28,322.0588235294117,1.9411764705882355,0,332.76470588235287,2.4705882352941178,28,40.5,under
9/10/1989,1989,NYJ,NWE,24,324.64705882352933,1.6470588235294117,27,277.6470588235294,2.411764705882353,51,41.0,over
9/10/1989,1989,PHI,SEA,31,343.29411764705884,1.5882352941176472,7,298.5882352941176,2.2941176470588243,38,43.0,under
9/10/1989,1989,PIT,CLE,0,309.2352941176472,2.764705882352941,51,311.2352941176472,2.0,51,43.0,over
9/11/1989,1989,WAS,NYG,24,360.9411764705882,2.8823529411764706,27,314.4117647058824,1.7647058823529411,51,42.0,over
9/17/1989,1989,ATL,DAL,27,286.4705882352941,1.9411764705882355,21,328.9411764705883,2.4705882352941178,48,40.5,over
9/17/1989,1989,CHI,MIN,38,329.88235294117646,2.235294117647059,7,337.5882352941176,1.8823529411764703,45,39.0,over
9/17/1989,1989,CIN,PIT,41,364.5294117647058,1.6470588235294117,10,304.4117647058824,2.764705882352941,51,44.0,over
9/17/1989,1989,CLE,NYJ,38,314.4705882352941,1.8823529411764703,24,336.5882352941176,1.7647058823529411,62,43.0,over
9/17/1989,1989,GNB,NOR,35,309.76470588235287,2.8235294117647056,34,323.4117647058824,1.8823529411764703,69,40.0,over
9/17/1989,1989,KAN,RAI,24,312.0588235294117,2.117647058823529,19,315.88235294117646,2.0,43,42.0,over
9/17/1989,1989,RAM,CLT,31,373.9411764705882,2.117647058823529,17,312.88235294117646,1.7647058823529411,48,43.5,over
9/17/1989,1989,NWE,MIA,10,276.58823529411757,2.3529411764705883,24,365.29411764705884,2.411764705882353,34,43.5,under
9/17/1989,1989,NYG,DET,24,321.88235294117646,1.7647058823529411,14,226.05882352941174,2.235294117647059,38,39.0,under
9/17/1989,1989,SDG,OTI,27,287.29411764705884,2.176470588235294,34,315.9411764705883,2.0,61,43.0,over
9/17/1989,1989,SEA,CRD,24,303.4705882352941,2.2941176470588243,34,366.5294117647058,2.117647058823529,58,41.0,over
9/17/1989,1989,TAM,SFO,16,309.5882352941176,2.9411764705882355,20,359.7647058823529,1.4705882352941178,36,44.0,under
9/17/1989,1989,WAS,PHI,37,367.1764705882353,3.117647058823529,42,346.7647058823529,1.7058823529411764,79,44.0,over
9/18/1989,1989,BUF,DEN,14,339.11764705882354,2.117647058823529,28,343.29411764705884,2.0588235294117645,42,42.0,under
9/24/1989,1989,DAL,WAS,7,319.4117647058824,2.647058823529412,30,358.8235294117647,3.0,37,46.0,under
9/24/1989,1989,DEN,RAI,31,333.88235294117646,2.235294117647059,21,327.76470588235287,2.235294117647059,52,45.0,over
9/24/1989,1989,DET,CHI,27,231.64705882352942,2.3529411764705883,47,340.70588235294116,2.0588235294117645,74,38.0,over
9/24/1989,1989,OTI,BUF,41,322.4705882352941,1.9411764705882355,47,342.11764705882354,2.0,88,44.0,over
9/24/1989,1989,CLT,ATL,13,315.29411764705884,1.6470588235294117,9,280.6470588235294,1.8823529411764703,22,45.0,under
9/24/1989,1989,RAM,GNB,41,381.4117647058823,2.176470588235294,38,321.64705882352933,3.0,79,45.0,over
