,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
928,CRD,9191971CRD,September 19,WAS,13.0,255.0,138.0,117.0,7.0,10.0,213.0,65.0,148.0,1.0
942,CRD,9271971CRD,September 27,NYJ,15.0,340.0,222.0,118.0,1.0,18.0,239.0,121.0,118.0,0.0
954,CRD,1031971CRD,October 3,NYG,14.0,305.0,176.0,129.0,4.0,16.0,301.0,220.0,81.0,2.0
956,ATL,10101971ATL,October 10,CRD,15.0,213.0,119.0,94.0,6.0,16.0,263.0,112.0,151.0,0.0
980,WAS,10171971WAS,October 17,CRD,21.0,349.0,120.0,229.0,2.0,11.0,205.0,180.0,25.0,7.0
993,CRD,10241971CRD,October 24,SFO,15.0,284.0,176.0,108.0,3.0,16.0,366.0,226.0,140.0,0.0
996,BUF,10311971BUF,October 31,CRD,19.0,309.0,247.0,62.0,3.0,24.0,305.0,163.0,142.0,0.0
1018,CRD,1171971CRD,November 7,DAL,11.0,228.0,192.0,36.0,1.0,20.0,372.0,199.0,173.0,0.0
1033,SDG,11151971SDG,November 15,CRD,21.0,389.0,249.0,140.0,3.0,21.0,346.0,214.0,132.0,3.0
1044,CRD,11211971CRD,November 21,PHI,15.0,333.0,248.0,85.0,8.0,17.0,267.0,134.0,133.0,2.0
1054,NYG,11281971NYG,November 28,CRD,15.0,285.0,211.0,74.0,6.0,21.0,344.0,137.0,207.0,3.0
1070,CRD,1251971CRD,December 5,GNB,12.0,305.0,225.0,80.0,1.0,19.0,357.0,146.0,211.0,3.0
1082,PHI,12121971PHI,December 12,CRD,19.0,382.0,205.0,177.0,1.0,10.0,273.0,161.0,112.0,5.0
1086,DAL,12181971DAL,December 18,CRD,18.0,323.0,118.0,205.0,4.0,14.0,215.0,127.0,88.0,3.0
1106,CLT,9171972CLT,September 17,CRD,20.0,364.0,247.0,117.0,3.0,5.0,134.0,88.0,46.0,0.0
1130,WAS,9241972WAS,September 24,CRD,19.0,272.0,91.0,181.0,0.0,16.0,219.0,140.0,79.0,3.0
1143,CRD,1011972CRD,October 1,PIT,15.0,248.0,190.0,58.0,4.0,20.0,362.0,209.0,153.0,2.0
1153,MIN,1081972MIN,October 8,CRD,21.0,292.0,113.0,179.0,2.0,12.0,262.0,153.0,109.0,0.0
1169,CRD,10151972CRD,October 15,WAS,10.0,151.0,85.0,66.0,4.0,20.0,390.0,230.0,160.0,3.0
1177,NYG,10221972NYG,October 22,CRD,16.0,316.0,209.0,107.0,3.0,13.0,191.0,108.0,83.0,3.0
1195,CRD,10291972CRD,October 29,CHI,17.0,269.0,119.0,150.0,4.0,15.0,329.0,180.0,149.0,2.0
1206,PHI,1151972PHI,November 5,CRD,17.0,299.0,200.0,99.0,1.0,14.0,228.0,82.0,146.0,2.0
1213,DAL,11121972DAL,November 12,CRD,23.0,427.0,197.0,230.0,1.0,16.0,328.0,274.0,54.0,3.0
1234,CRD,11191972CRD,November 19,NYG,12.0,207.0,21.0,186.0,2.0,16.0,247.0,97.0,150.0,0.0
1248,MIA,11271972MIA,November 27,CRD,24.0,426.0,226.0,200.0,2.0,12.0,224.0,173.0,51.0,6.0
1260,CRD,1231972CRD,December 3,DAL,10.0,141.0,89.0,52.0,5.0,18.0,349.0,140.0,209.0,5.0
1273,CRD,12101972CRD,December 10,RAM,11.0,269.0,192.0,77.0,1.0,29.0,391.0,240.0,151.0,3.0
1286,CRD,12171972CRD,December 17,PHI,18.0,396.0,324.0,72.0,2.0,18.0,275.0,171.0,104.0,0.0
1304,PHI,9161973PHI,September 16,CRD,18.0,252.0,143.0,109.0,3.0,20.0,392.0,195.0,197.0,3.0
1319,CRD,9231973CRD,September 23,WAS,20.0,343.0,278.0,65.0,0.0,22.0,360.0,291.0,69.0,1.0
1324,DAL,9301973DAL,September 30,CRD,31.0,578.0,328.0,250.0,2.0,17.0,290.0,246.0,44.0,4.0
1345,CRD,1071973CRD,October 7,RAI,17.0,208.0,88.0,120.0,0.0,32.0,446.0,199.0,247.0,2.0
1358,CRD,10141973CRD,October 14,PHI,14.0,343.0,278.0,65.0,1.0,20.0,453.0,351.0,102.0,1.0
1371,WAS,10211973WAS,October 21,CRD,23.0,428.0,286.0,142.0,7.0,12.0,248.0,202.0,46.0,5.0
1384,CRD,10281973CRD,October 28,NYG,19.0,380.0,220.0,160.0,0.0,29.0,427.0,332.0,95.0,1.0
1397,CRD,1141973CRD,November 4,DEN,18.0,261.0,168.0,93.0,2.0,15.0,294.0,190.0,104.0,1.0
1401,GNB,11111973GNB,November 11,CRD,21.0,305.0,62.0,243.0,1.0,19.0,258.0,187.0,71.0,1.0
1419,NYG,11181973NYG,November 18,CRD,21.0,358.0,186.0,172.0,1.0,14.0,282.0,214.0,68.0,3.0
1428,CIN,11251973CIN,November 25,CRD,25.0,366.0,167.0,199.0,1.0,24.0,355.0,160.0,195.0,3.0
1448,CRD,1221973CRD,December 2,DET,19.0,301.0,132.0,169.0,1.0,17.0,303.0,211.0,92.0,0.0
1453,ATL,1291973ATL,December 9,CRD,9.0,120.0,31.0,89.0,5.0,15.0,252.0,9.0,243.0,2.0
1475,CRD,12161973CRD,December 16,DAL,10.0,141.0,6.0,135.0,4.0,24.0,459.0,252.0,207.0,1.0
1495,CRD,9151974CRD,September 15,PHI,18.0,318.0,192.0,126.0,3.0,20.0,287.0,174.0,113.0,2.0
1508,WAS,9221974WAS,September 22,CRD,21.0,332.0,200.0,132.0,2.0,12.0,224.0,49.0,175.0,0.0
1521,CRD,9291974CRD,September 29,CLE,14.0,278.0,107.0,171.0,0.0,11.0,248.0,155.0,93.0,1.0
1534,SFO,1061974SFO,October 6,CRD,12.0,306.0,120.0,186.0,3.0,21.0,407.0,184.0,223.0,2.0
1546,CRD,10131974CRD,October 13,DAL,17.0,374.0,236.0,138.0,0.0,24.0,370.0,224.0,146.0,1.0
1553,OTI,10201974OTI,October 20,CRD,21.0,433.0,348.0,85.0,3.0,23.0,345.0,134.0,211.0,2.0
1573,CRD,10271974CRD,October 27,WAS,15.0,305.0,190.0,115.0,0.0,19.0,292.0,176.0,116.0,1.0
1577,DAL,1131974DAL,November 3,CRD,22.0,278.0,146.0,132.0,0.0,19.0,216.0,82.0,134.0,0.0
1600,CRD,11111974CRD,November 11,MIN,23.0,436.0,341.0,95.0,3.0,18.0,304.0,126.0,178.0,1.0
1611,PHI,11171974PHI,November 17,CRD,13.0,205.0,134.0,71.0,3.0,16.0,288.0,100.0,188.0,2.0
1621,NYG,11241974NYG,November 24,CRD,20.0,361.0,257.0,104.0,1.0,20.0,341.0,259.0,82.0,0.0
1638,CRD,1211974CRD,December 1,KAN,15.0,252.0,170.0,82.0,3.0,13.0,240.0,84.0,156.0,2.0
1647,NOR,1281974NOR,December 8,CRD,17.0,315.0,87.0,228.0,1.0,12.0,214.0,150.0,64.0,1.0
1664,CRD,12151974CRD,December 15,NYG,22.0,316.0,164.0,152.0,1.0,18.0,280.0,132.0,148.0,4.0
1666,MIN,12211974MIN,December 21,CRD,19.0,365.0,166.0,199.0,2.0,17.0,284.0,184.0,100.0,2.0
1683,CRD,9211975CRD,September 21,ATL,18.0,317.0,150.0,167.0,3.0,19.0,294.0,58.0,236.0,2.0
1690,DAL,9281975DAL,September 28,CRD,28.0,448.0,288.0,160.0,2.0,19.0,432.0,314.0,118.0,3.0
1710,CRD,1051975CRD,October 5,NYG,18.0,379.0,125.0,254.0,2.0,19.0,264.0,138.0,126.0,1.0
1724,WAS,10131975WAS,October 13,CRD,21.0,347.0,189.0,158.0,2.0,13.0,288.0,220.0,68.0,5.0
1736,CRD,10191975CRD,October 19,PHI,22.0,403.0,125.0,278.0,4.0,16.0,250.0,148.0,102.0,3.0
1738,NYG,10251975NYG,October 25,CRD,22.0,281.0,199.0,82.0,4.0,14.0,314.0,189.0,125.0,0.0
1761,CRD,1121975CRD,November 2,NWE,18.0,273.0,158.0,115.0,3.0,17.0,274.0,152.0,122.0,3.0
1773,PHI,1191975PHI,November 9,CRD,17.0,326.0,239.0,87.0,2.0,23.0,361.0,208.0,153.0,2.0
1788,CRD,11161975CRD,November 16,WAS,31.0,427.0,197.0,230.0,4.0,16.0,397.0,252.0,145.0,5.0
1800,NYJ,11231975NYJ,November 23,CRD,22.0,323.0,166.0,157.0,3.0,23.0,476.0,267.0,209.0,3.0
1804,CRD,11271975CRD,November 27,BUF,16.0,210.0,156.0,54.0,7.0,25.0,392.0,128.0,264.0,3.0
1827,CRD,1271975CRD,December 7,DAL,22.0,368.0,199.0,169.0,1.0,28.0,373.0,255.0,118.0,3.0
1833,CHI,12141975CHI,December 14,CRD,18.0,326.0,259.0,67.0,2.0,19.0,362.0,172.0,190.0,1.0
1847,DET,12211975DET,December 21,CRD,16.0,300.0,199.0,101.0,2.0,20.0,345.0,73.0,272.0,1.0
1855,RAM,12271975RAM,December 27,CRD,26.0,440.0,203.0,237.0,3.0,22.0,363.0,268.0,95.0,5.0
1873,SEA,9121976SEA,September 12,CRD,17.0,352.0,279.0,73.0,3.0,25.0,456.0,175.0,281.0,2.0
1886,CRD,9191976CRD,September 19,GNB,22.0,420.0,212.0,208.0,0.0,7.0,131.0,69.0,62.0,7.0
