schedule_date,schedule_season,home_id,away_id,score_home,score_away,total_score,over_under_line,label
12/20/1980,1980,MIA,NYJ,17,24,41,40,over
12/20/1980,1980,TAM,CHI,13,14,27,35,under
12/21/1980,1980,CLT,KAN,28,38,66,42,over
12/21/1980,1980,CIN,CLE,24,27,51,38,over
12/21/1980,1980,DAL,PHI,35,27,62,42,over
12/21/1980,1980,DET,GNB,24,3,27,38,under
12/21/1980,1980,OTI,MIN,20,16,36,37,under
12/21/1980,1980,RAM,ATL,20,17,37,44,under
12/21/1980,1980,NOR,NWE,27,38,65,48,over
12/21/1980,1980,NYG,RAI,17,33,50,42,over
12/21/1980,1980,SFO,BUF,13,18,31,42,under
12/21/1980,1980,SEA,DEN,17,25,42,42,under
12/21/1980,1980,CRD,WAS,7,31,38,38,under
12/22/1980,1980,SDG,PIT,26,17,43,44,under
1/25/1981,1980,RAI,PHI,27,10,37,37.5,under
9/5/1981,1981,TAM,MIN,21,13,34,37,under
9/6/1981,1981,ATL,NOR,27,0,27,45,under
9/6/1981,1981,BUF,NYJ,31,0,31,41,under
9/6/1981,1981,CHI,GNB,9,16,25,37,under
9/6/1981,1981,CIN,SEA,27,21,48,41,over
9/6/1981,1981,DEN,RAI,9,7,16,38,under
9/6/1981,1981,DET,SFO,24,17,41,40,over
9/6/1981,1981,RAM,OTI,20,27,47,38,over
9/6/1981,1981,NWE,CLT,28,29,57,45,over
9/6/1981,1981,NYG,PHI,10,24,34,38,under
9/6/1981,1981,PIT,KAN,33,37,70,37,over
9/6/1981,1981,CRD,MIA,7,20,27,38,under
9/6/1981,1981,WAS,DAL,10,26,36,38,under
9/7/1981,1981,CLE,SDG,14,44,58,45,over
9/10/1981,1981,MIA,PIT,30,10,40,41,under
9/13/1981,1981,CLT,BUF,3,35,38,43,under
9/13/1981,1981,CLE,OTI,3,9,12,43,under
9/13/1981,1981,DAL,CRD,30,17,47,41,over
9/13/1981,1981,GNB,ATL,17,31,48,39,over
9/13/1981,1981,KAN,TAM,19,10,29,38,under
9/13/1981,1981,NOR,RAM,23,17,40,40,under
9/13/1981,1981,NYJ,CIN,30,31,61,42,over
9/13/1981,1981,PHI,NWE,13,3,16,39,under
9/13/1981,1981,SDG,DET,28,23,51,43,over
9/13/1981,1981,SFO,CHI,28,17,45,41,over
9/13/1981,1981,SEA,DEN,13,10,23,41,under
9/13/1981,1981,WAS,NYG,7,17,24,37,under
9/14/1981,1981,MIN,RAI,10,36,46,41,over
9/17/1981,1981,BUF,PHI,14,20,34,38,under
