schedule_date,schedule_season,home_id,away_id,weather_temperature,weather_wind_mph,score_home,score_away,total_score,over_under_line,label
11/9/1980,1980,CLT,CLE,52.0,6.0,27,28,55,42,over
11/9/1980,1980,CHI,WAS,58.0,15.0,35,21,56,34,over
11/9/1980,1980,GNB,SFO,51.0,17.0,23,16,39,42,under
11/9/1980,1980,RAM,MIA,59.0,6.0,14,35,49,41,over
11/9/1980,1980,MIN,DET,45.0,15.0,34,0,34,39,under
11/9/1980,1980,NOR,PHI,72.0,0.0,21,34,55,43,over
11/9/1980,1980,NYG,DAL,44.0,12.0,38,35,73,44,over
11/9/1980,1980,NYJ,BUF,44.0,12.0,24,31,55,38,over
11/9/1980,1980,RAI,CIN,57.0,5.0,28,17,45,42,over
11/9/1980,1980,SDG,DEN,61.0,6.0,13,20,33,45,under
11/9/1980,1980,SEA,KAN,72.0,0.0,30,31,61,40,over
11/9/1980,1980,CRD,ATL,66.0,17.0,27,33,60,43,over
11/9/1980,1980,TAM,PIT,74.0,6.0,21,24,45,43,over
11/10/1980,1980,OTI,NWE,72.0,0.0,38,34,72,43,over
11/16/1980,1980,ATL,NOR,60.0,11.0,31,13,44,46,under
11/16/1980,1980,CHI,OTI,35.0,6.0,6,10,16,35,under
11/16/1980,1980,CIN,BUF,34.0,11.0,0,14,14,36,under
